model_name,mean_latency,model_size,top1_acc,model_type
gluon_resnext50_32x4d_224,0.153031587600708,95.37,79.354,cnn
dpn107_224,0.5999746680259704,331.92,80.156,cnn
tf_efficientnet_b2.ap_in1k_260,0.17493317127227784,34.77,80.300,cnn
vit_relpos_medium_patch16_rpn_224.sw_in1k_224,0.13589576482772828,148.18,82.298,transformer
tv_resnet101_224,0.16780152320861816,169.79,77.374,cnn
maxvit_base_tf_512.in1k_512,5.036234068870544,459.11,86.598,transformer
mobilevitv2_200_256,0.2319831967353821,70.46,81.136,transformer
mobilevitv2_150_384_in22ft1k_384,0.351792573928833,40.51,82.594,transformer
tf_efficientnet_b5.ra_in1k_456,0.9944928765296936,115.80,83.812,cnn
hrnet_w18_224,0.15291556119918823,81.35,76.758,cnn
vit_large_patch14_clip_224.openai_ft_in12k_in1k_224,1.3077483296394348,1160.66,88.168,transformer
vit_small_patch16_224.augreg_in21k_ft_in1k_224,0.08623261451721191,84.22,81.402,transformer
mixer_b16_224_224,0.18212743997573852,228.52,76.600,cnn
vit_large_patch32_384.orig_in21k_ft_in1k_384,0.8424208760261536,1169.92,81.506,transformer
legacy_seresnext50_32x4d_224,0.19400023221969603,105.05,79.078,cnn
swsl_resnext101_32x8d_224,0.40617374181747434,338.37,84.284,cnn
xcit_nano_12_p16_224_224,0.032277894020080564,11.87,69.954,transformer
efficientnetv2_rw_m.agc_in1k_416,0.7179241895675659,202.68,84.808,cnn
convnext_base.fb_in22k_ft_in1k_384_384,0.788142204284668,338.16,86.794,cnn
swin_s3_small_224_224,0.2305355429649353,227.11,83.770,transformer
pit_s_224_224,0.07358933687210083,89.68,81.094,transformer
tf_efficientnet_b6.aa_in1k_528,1.64804664850235,163.98,84.110,cnn
xcit_large_24_p8_224_224,2.1384785175323486,721.22,84.392,transformer
gluon_resnet50_v1c_224,0.09933278560638428,97.49,78.012,cnn
cait_xs24_384_384,1.6648226022720336,101.99,84.062,transformer
poolformer_m48_224,0.46189266443252563,280.62,82.462,transformer
tf_efficientnet_b3.aa_in1k_300,0.2876337170600891,46.66,81.636,cnn
vgg13_bn_224,0.24958654642105102,507.54,71.594,cnn
regnetx_004_224,0.03829567432403565,19.63,72.396,cnn
mixer_b16_224_miil_224,0.18183255195617676,228.52,82.308,cnn
gluon_inception_v3_299,0.16764191389083863,90.90,78.806,cnn
gluon_resnet50_v1b_224,0.09406315088272095,97.41,77.580,cnn
dla46x_c_224,0.052414095401763915,4.08,65.970,cnn
eva_large_patch14_336.in22k_ft_in1k_336,2.459189260005951,1161.91,88.664,transformer
convnext_atto.d2_in1k_288,0.06156010627746582,14.18,77.014,cnn
mnasnet_100.rmsp_in1k_224,0.026739943027496337,16.67,74.658,cnn
bat_resnext26ts_256,0.15922470092773439,41.03,78.242,cnn
deit3_small_patch16_384_384,0.2754181146621704,84.82,83.426,transformer
fbnetv3_d.ra2_in1k_256,0.07462327480316162,39.30,79.680,cnn
