model_name,mean_latency,size_in_mb,top1_acc,type
resnet26t_256.onnx,0.46699042320251466,61.04,77.882,CNN
eca_resnext26ts_256.onnx,0.433303701877594,39.26,77.452,CNN
seresnext26ts_256.onnx,0.4272052764892578,39.60,77.866,CNN
ecaresnet50d_pruned_224.onnx,0.4177919507026672,76.03,79.716,CNN
resnetv2_50_224.onnx,0.6119138121604919,97.59,80.432,CNN
densenet121_224.onnx,0.47571597099304197,30.81,75.578,CNN
resnet50_224.onnx,0.6087064146995544,97.41,80.374,CNN
resnet32ts_256.onnx,0.7174249410629272,68.48,79.004,CNN
resnet50d_224.onnx,0.642475938796997,97.49,80.530,CNN
resnet33ts_256.onnx,0.7409513711929321,75.01,79.214,CNN
gcresnet33ts_256.onnx,0.7470065832138062,75.86,80.082,CNN
gcresnext50ts_256.onnx,0.6801377415657044,59.81,80.580,CNN
seresnet33ts_256.onnx,0.7418643474578858,75.42,80.352,CNN
eca_resnet33ts_256.onnx,0.7384482979774475,75.03,80.078,CNN
ecaresnet101d_pruned_224.onnx,0.5696078062057495,94.88,80.818,CNN
gcresnet50t_256.onnx,0.7541783571243286,98.82,80.940,CNN
seresnext26d_32x4d_224.onnx,0.42690441608428953,64.07,77.602,CNN
seresnext26t_32x4d_224.onnx,0.42749265432357786,64.06,77.986,CNN
densenetblur121d_224.onnx,0.5217314958572388,30.89,76.588,CNN
ese_vovnet39b_224.onnx,0.978272557258606,93.72,79.320,CNN
resnet50_gn_224.onnx,0.6492885112762451,97.60,80.052,CNN
resnetblur50_224.onnx,0.7582818269729614,97.46,79.286,CNN
ecaresnetlight_224.onnx,0.6521124720573426,114.99,80.462,CNN
resnext50d_32x4d_224.onnx,0.6793301105499268,95.45,79.676,CNN
ecaresnet50d_224.onnx,0.6836004137992859,97.51,80.592,CNN
seresnet50_224.onnx,0.6375639200210571,107.09,80.274,CNN
resnext50_32x4d_224.onnx,0.640603494644165,95.37,81.118,CNN
dpn68b_224.onnx,0.4089604616165161,48.17,79.216,CNN
resnetv2_101_224.onnx,1.1831284999847411,170.18,82.030,CNN
resnet101_224.onnx,1.1847635626792907,169.79,81.938,CNN
seresnext50_32x4d_224.onnx,0.6751740217208863,105.04,81.266,CNN
wide_resnet50_2_224.onnx,1.5744874119758605,262.66,81.456,CNN
resnet152_224.onnx,1.7122673392295837,229.40,82.822,CNN
ecaresnet101d_224.onnx,1.286394226551056,169.91,82.172,CNN
regnety_120_224.onnx,1.7244425773620606,197.55,80.366,CNN
seresnextaa101d_32x8d_288.onnx,4.1134823083877565,356.71,84.568,CNN
