model_name,mean_latency,size_in_mb,top1_acc,type
pvt_v2_b2_li_224.onnx,1.22894047498703,86.35,82.196,Transformer
ecaresnet26t_320.onnx,0.7817502498626709,61.05,79.854,CNN
edgenext_base_320.onnx,1.3025901675224305,70.80,83.960,Transformer
lcnet_075.ra2_in1k_224.onnx,0.04719620943069458,9.00,68.818,CNN
ig_resnext101_32x8d_224.onnx,2.3864967942237856,338.37,82.688,CNN
gcvit_xxtiny_224.onnx,0.4767328381538391,53.27,79.714,Transformer
resnetaa50_288.onnx,1.2006603717803954,97.42,81.622,CNN
tresnet_m_224.onnx,0.8368895530700684,119.72,83.080,CNN
ecaresnet50t_320.onnx,1.3033113718032836,97.50,82.346,CNN
cs3darknet_l_288.onnx,0.9523272275924682,80.73,80.896,CNN
xcit_large_24_p16_384_dist_384.onnx,15.41583970785141,721.84,85.754,Transformer
gluon_seresnext101_32x4d_224.onnx,1.2540038466453551,186.57,80.904,CNN
coatnet_nano_rw_224_224.onnx,0.5537449836730957,64.58,81.700,Transformer
lambda_resnet26rpt_256_256.onnx,0.44906115531921387,42.46,78.970,CNN
repvgg_b0_224.onnx,0.5143630504608154,60.37,75.152,CNN
xcit_small_24_p8_384_dist_384.onnx,19.1378044962883,182.13,85.556,Transformer
vit_large_patch16_224.augreg_in21k_ft_in1k_224.onnx,9.446286642551422,1161.13,85.842,Transformer
resmlp_36_distilled_224_224.onnx,1.3557359099388122,170.64,81.160,CNN
dla60_res2next_224.onnx,0.5485145568847656,64.94,78.440,CNN
maxvit_nano_rw_256_256.onnx,0.9584131836891174,60.69,82.932,Transformer
vit_base_patch16_clip_384.openai_ft_in1k_384.onnx,7.532730901241303,331.45,86.206,Transformer
tf_efficientnet_b4.ns_jft_in1k_380.onnx,1.603376865386963,73.72,85.162,CNN
ssl_resnext101_32x16d_224.onnx,5.331904923915863,739.56,81.844,CNN
nf_regnet_b1_288.onnx,0.31826146841049197,57.89,79.292,CNN
resnet152d_320.onnx,3.290871822834015,229.47,83.680,CNN
poolformer_s12_224.onnx,0.3679440379142761,45.54,77.230,Transformer
repvgg_a2_224.onnx,0.8134864091873169,107.63,76.460,CNN
resmlp_12_224_224.onnx,0.4541735053062439,58.61,76.654,CNN
maxvit_tiny_tf_512.in1k_512.onnx,7.245038306713104,119.40,85.662,Transformer
efficientnet_el_pruned.in1k_300.onnx,1.3553476810455323,40.25,80.300,CNN
gmixer_24_224_224.onnx,0.7652431488037109,94.57,78.036,CNN
cait_s36_384_384.onnx,10.045542073249816,261.17,85.460,Transformer
mobilevitv2_150_in22ft1k_256.onnx,0.7784113407135009,40.51,81.478,Transformer
hardcorenas_f_224.onnx,0.15368903875350953,31.26,78.104,CNN
adv_inception_v3_299.onnx,0.8500206232070923,90.90,77.582,CNN
cait_xxs24_384_384.onnx,3.1081633806228637,46.14,80.966,Transformer
convnext_nano.d1h_in1k_288.onnx,0.9480175614356995,59.57,81.470,CNN
pvt_v2_b2_224.onnx,1.241335356235504,97.03,82.076,Transformer
repvgg_b3g4_224.onnx,2.4797245025634767,319.78,80.212,CNN
repvgg_b1g4_224.onnx,1.176493191719055,152.48,77.594,CNN
resnetrs50_224.onnx,0.6950970530509949,136.10,79.892,CNN
gluon_resnet152_v1s_224.onnx,1.8839683651924133,229.87,81.016,CNN
hrnet_w30_224.onnx,1.291157078742981,143.93,78.206,CNN
resnetrs270_352.onnx,7.342994308471679,495.15,84.434,CNN
deit3_base_patch16_224_224.onnx,2.3474682688713076,330.41,83.792,Transformer
beitv2_large_patch16_224.in1k_ft_in22k_in1k_224.onnx,9.35247575044632,1217.37,88.386,Transformer
vgg13_224.onnx,1.673359763622284,507.54,69.926,CNN
maxvit_rmlp_tiny_rw_256_256.onnx,1.4147521615028382,111.71,84.232,Transformer
tf_efficientnetv2_s.in21k_ft_in1k_384.onnx,1.6250798583030701,81.75,84.302,CNN
resmlp_big_24_distilled_224_224.onnx,13.535171616077424,492.73,83.588,CNN
mobilevitv2_200_384_in22ft1k_384.onnx,2.766943371295929,70.46,83.394,Transformer
fbnetv3_b.ra2_in1k_256.onnx,0.23447214365005492,32.80,79.150,CNN
eva_large_patch14_196.in22k_ft_in1k_196.onnx,9.158518064022065,1160.42,87.938,Transformer
tinynet_e.in1k_106.onnx,0.023529434204101564,7.80,59.856,CNN
twins_svt_base_224.onnx,1.3843494534492493,214.29,83.136,Transformer
gernet_s_224.onnx,0.12443791627883911,31.14,76.916,CNN
eca_nfnet_l0_288.onnx,1.211455726623535,175.47,82.580,CNN
cs3sedarknet_l_288.onnx,0.9555052399635315,83.62,81.774,CNN
xcit_nano_12_p16_224_224.onnx,0.16276086568832399,11.87,69.954,Transformer
vit_small_r26_s32_384.augreg_in21k_ft_in1k_384.onnx,1.5704952955245972,192.78,84.046,Transformer
xcit_medium_24_p16_384_dist_384.onnx,7.853879141807556,322.40,85.412,Transformer
regnety_064_288.onnx,1.5706680059432983,116.56,83.716,CNN
regnety_160_288.onnx,3.6383008122444154,318.68,83.686,CNN
vit_base_patch16_384.orig_in21k_ft_in1k_384.onnx,7.539323699474335,331.45,84.210,Transformer
levit_256_224.onnx,0.22046492099761963,72.90,81.510,Transformer
flexivit_large.1200ep_in1k_240.onnx,10.484492015838622,1161.24,85.644,Transformer
regnetx_006_224.onnx,0.11205273866653442,23.59,73.852,CNN
resnetv2_50d_evos_288.onnx,1.4009803891181947,97.91,81.976,CNN
tf_efficientnetv2_l.in21k_ft_in1k_480.onnx,9.72106169462204,451.43,86.806,CNN
deit3_small_patch16_384_384.onnx,2.323933279514313,84.82,83.426,Transformer
tf_mixnet_m.in1k_224.onnx,0.286847186088562,19.57,76.942,CNN
regnetx_032_224.onnx,0.5039141178131104,58.26,78.172,CNN
pit_ti_distilled_224_224.onnx,0.1487710952758789,19.65,74.530,Transformer
tf_efficientnet_b6.ns_jft_in1k_528.onnx,5.621196758747101,163.98,86.452,CNN
swinv2_base_window16_256_256.onnx,3.572724628448486,341.45,84.594,Transformer
maxvit_base_tf_384.in21k_ft_in1k_384.onnx,13.319742023944855,458.24,87.922,Transformer
vgg13_bn_224.onnx,1.6835113644599915,507.54,71.594,CNN
pit_b_distilled_224_224.onnx,1.8717021346092224,285.50,84.144,Transformer
mobilevitv2_175_256.onnx,1.0268036723136902,54.45,80.860,Transformer
xcit_medium_24_p8_224_224.onnx,10.983928418159485,322.12,83.734,Transformer
cspresnet50_256.onnx,0.6212889671325683,82.42,79.574,CNN
hardcorenas_b_224.onnx,0.10437945127487183,19.74,76.538,CNN
mobilevitv2_125_256.onnx,0.5868270039558411,28.63,79.684,Transformer
res2net50_14w_8s_224.onnx,0.6401097059249878,95.56,78.150,CNN
maxvit_large_tf_384.in21k_ft_in1k_384.onnx,22.466861760616304,810.57,87.992,Transformer
tf_efficientnetv2_b2.in1k_260.onnx,0.400894033908844,38.50,80.208,CNN
dla60_224.onnx,0.6371931433677673,84.02,77.032,CNN
mvitv2_small_224.onnx,1.4584320783615112,133.65,83.768,Transformer
mobilevitv2_175_in22ft1k_256.onnx,1.0219319343566895,54.45,81.944,Transformer
efficientnet_b2.ra_in1k_288.onnx,0.4974381923675537,34.70,80.612,CNN
mnasnet_100.rmsp_in1k_224.onnx,0.11914221048355103,16.67,74.658,CNN
res2net50_26w_8s_224.onnx,1.2255190849304198,184.57,79.200,CNN
xcit_nano_12_p8_384_dist_384.onnx,1.6864369630813598,11.85,77.820,Transformer
resnest50d_1s4x24d_224.onnx,0.6791609168052674,97.87,80.988,CNN
