model_name,mean_latency,model_size,top1_acc,model_type
regnety_064_288,1.5706680059432983,116.56,83.716,cnn
regnety_160_288,3.6383008122444154,318.68,83.686,cnn
vit_base_patch16_384.orig_in21k_ft_in1k_384,7.539323699474335,331.45,84.210,transformer
levit_256_224,0.22046492099761963,72.90,81.510,transformer
flexivit_large.1200ep_in1k_240,10.484492015838622,1161.24,85.644,transformer
regnetx_006_224,0.11205273866653442,23.59,73.852,cnn
resnetv2_50d_evos_288,1.4009803891181947,97.91,81.976,cnn
tf_efficientnetv2_l.in21k_ft_in1k_480,9.72106169462204,451.43,86.806,cnn
deit3_small_patch16_384_384,2.323933279514313,84.82,83.426,transformer
tf_mixnet_m.in1k_224,0.286847186088562,19.57,76.942,cnn
regnetx_032_224,0.5039141178131104,58.26,78.172,cnn
pit_ti_distilled_224_224,0.1487710952758789,19.65,74.530,transformer
tf_efficientnet_b6.ns_jft_in1k_528,5.621196758747101,163.98,86.452,cnn
swinv2_base_window16_256_256,3.572724628448486,341.45,84.594,transformer
maxvit_base_tf_384.in21k_ft_in1k_384,13.319742023944855,458.24,87.922,transformer
vgg13_bn_224,1.6835113644599915,507.54,71.594,cnn
pit_b_distilled_224_224,1.8717021346092224,285.50,84.144,transformer
mobilevitv2_175_256,1.0268036723136902,54.45,80.860,transformer
xcit_medium_24_p8_224_224,10.983928418159485,322.12,83.734,transformer
cspresnet50_256,0.6212889671325683,82.42,79.574,cnn
hardcorenas_b_224,0.10437945127487183,19.74,76.538,cnn
mobilevitv2_125_256,0.5868270039558411,28.63,79.684,transformer
res2net50_14w_8s_224,0.6401097059249878,95.56,78.150,cnn
maxvit_large_tf_384.in21k_ft_in1k_384,22.466861760616304,810.57,87.992,transformer
tf_efficientnetv2_b2.in1k_260,0.400894033908844,38.50,80.208,cnn
dla60_224,0.6371931433677673,84.02,77.032,cnn
mvitv2_small_224,1.4584320783615112,133.65,83.768,transformer
mobilevitv2_175_in22ft1k_256,1.0219319343566895,54.45,81.944,transformer
efficientnet_b2.ra_in1k_288,0.4974381923675537,34.70,80.612,cnn
mnasnet_100.rmsp_in1k_224,0.11914221048355103,16.67,74.658,cnn
res2net50_26w_8s_224,1.2255190849304198,184.57,79.200,cnn
xcit_nano_12_p8_384_dist_384,1.6864369630813598,11.85,77.820,transformer
resnest50d_1s4x24d_224,0.6791609168052674,97.87,80.988,cnn
legacy_seresnet18_224,0.2683311104774475,44.93,71.744,cnn
tf_efficientnet_em.in1k_240,0.6020951867103577,26.29,78.130,cnn
hrnet_w44_224,2.230598199367523,255.85,78.896,cnn
coat_lite_tiny_224,0.42698395252227783,22.02,77.512,transformer
vit_small_patch16_224.augreg_in21k_ft_in1k_224,0.6792339444160461,84.22,81.402,transformer
tf_mobilenetv3_large_minimal_100.in1k_224,0.07075642347335816,15.01,72.248,cnn
tf_efficientnet_lite2.in1k_260,0.30459682941436766,23.24,77.468,cnn
tf_inception_v3_299,0.8503925561904907,90.90,77.860,cnn
maxvit_small_tf_384.in1k_384,6.849374747276306,264.19,85.534,transformer
tf_efficientnet_lite3.in1k_300,0.5024780392646789,31.24,79.820,cnn
tf_efficientnetv2_m.in21k_ft_in1k_480,4.603140723705292,206.21,86.004,cnn
repvgg_b2g4_224,1.7645910739898683,235.60,79.366,cnn
gernet_m_224,0.441959285736084,80.55,80.732,cnn
pvt_v2_b5_224,2.5886255383491514,313.53,83.740,transformer
regnetz_d8_evos_320,2.0811723589897158,89.96,84.050,cnn
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k_224,2.363479435443878,330.34,86.170,transformer
xcit_nano_12_p16_224_dist_224,0.16288702487945556,11.87,72.302,transformer
tf_efficientnet_el.in1k_300,1.3769635915756226,40.32,80.250,cnn
regnetz_e8_320,3.016954708099365,219.89,85.030,cnn
xcit_tiny_12_p16_224_dist_224,0.29143146276473997,25.84,78.578,transformer
ssl_resnext101_32x4d_224,1.1950697660446168,168.31,80.924,cnn
mvitv2_tiny_224,1.0302372574806213,92.63,82.404,transformer
gcvit_small_224,1.5893438935279847,229.48,83.884,transformer
maxvit_tiny_tf_384.in1k_384,3.854766809940338,119.11,85.106,transformer
cs3se_edgenet_x_320,2.598332631587982,193.49,83.548,cnn
hardcorenas_a_224,0.10783722400665283,20.06,75.916,cnn
tf_mobilenetv3_small_minimal_100.in1k_224,0.02539687156677246,7.86,62.906,cnn
swsl_resnet18_224,0.2647722601890564,44.58,73.276,cnn
resmlp_24_224_224,0.9079665422439576,114.63,79.374,cnn
flexivit_large.600ep_in1k_240,10.31983449459076,1161.24,85.538,transformer
resnest50d_224,0.8704728364944458,104.79,80.974,cnn
maxvit_base_tf_512.in21k_ft_in1k_512,25.23260817527771,459.11,88.212,transformer
tf_efficientnet_b1.ns_jft_in1k_240,0.3458699584007263,29.76,81.388,cnn
gluon_resnext50_32x4d_224,0.6429247736930848,95.37,79.354,cnn
gc_efficientnetv2_rw_t.agc_in1k_288,0.6830448150634766,52.21,82.464,cnn
swsl_resnext101_32x8d_224,2.401598572731018,338.37,84.284,cnn
efficientnet_b3.ra2_in1k_320,0.8295530438423157,46.59,82.242,cnn
xcit_large_24_p8_224_dist_224,21.402310800552367,721.22,85.396,transformer
mobilenetv3_small_100.lamb_in1k_224,0.03913737535476684,9.71,67.652,cnn
vit_base_patch32_clip_384.openai_ft_in12k_in1k_384,1.756970226764679,336.94,85.212,transformer
xcit_small_12_p16_384_dist_384,2.4188294410705566,100.38,84.706,transformer
ig_resnext101_32x48d_224,2.3974212765693665,338.37,85.428,cnn
nf_resnet50_288,1.0265466451644898,187.21,80.662,cnn
mobilevit_s_256,0.4793606996536255,21.42,78.312,transformer
hrnet_w48_224,2.5614949107170104,295.53,79.300,cnn
xception65_299,2.2460015177726746,151.97,83.180,cnn
vit_small_r26_s32_224.augreg_in21k_ft_in1k_224,0.5922035455703736,192.64,81.858,transformer
vit_small_patch16_224.augreg_in1k_224,0.6770445346832276,84.22,78.846,transformer
vit_relpos_small_patch16_224.sw_in1k_224,0.6809587717056275,84.28,81.462,transformer
xception41p_299,1.4754767060279845,102.67,81.958,cnn
deit3_large_patch16_384_384,27.88252583742142,1162.80,85.810,transformer
convnext_atto_ols.a2_in1k_288,0.3232700705528259,14.20,77.216,cnn
regnetz_040_320,1.4358072876930237,103.26,84.236,cnn
convnext_tiny.fb_in22k_ft_in1k_384_384,2.635109519958496,109.17,84.080,cnn
mobilenetv2_100.ra_in1k_224,0.09802556037902832,13.34,72.970,cnn
swinv2_cr_small_224_224,1.458760952949524,191.60,83.146,transformer
vit_relpos_medium_patch16_rpn_224.sw_in1k_224,1.1799497842788695,148.18,82.298,transformer
legacy_seresnet101_224,1.194449496269226,188.06,78.382,cnn
densenet201_224,0.7566944360733032,77.36,77.286,cnn
twins_pcpvt_small_224,0.7570209980010987,92.14,81.088,transformer
gluon_resnet152_v1c_224,1.7431899189949036,229.47,79.910,cnn
swinv2_small_window8_256_256,1.911987066268921,192.12,83.856,transformer
resnetrs420_416,15.57591370344162,731.66,85.008,cnn
efficientnet_b1.ft_in1k_256,0.36682993173599243,29.69,78.794,cnn
convnext_small.fb_in22k_ft_in1k_288,2.80239052772522,191.80,85.262,cnn
cspresnext50_256,0.6173183917999268,78.39,80.546,cnn
vit_base_patch16_384.augreg_in1k_384,7.592094457149505,331.45,81.102,transformer
dla60x_224,0.5580156564712524,66.12,78.246,cnn
poolformer_m36_224,1.6872865200042724,214.54,82.110,transformer
vit_base_r50_s16_384.orig_in21k_ft_in1k_384,9.189640200138092,423.41,84.972,transformer
coat_lite_small_224,0.931498908996582,76.04,82.308,transformer
convnext_pico_ols.d1_in1k_288,0.6208988308906556,34.65,80.464,cnn
vit_tiny_r_s16_p8_224.augreg_in21k_ft_in1k_224,0.09079611301422119,24.38,71.788,transformer
resnetv2_101x1_bitm_448,4.498521673679352,332.53,82.332,cnn
tv_resnet101_224,1.1707394123077393,169.79,77.374,cnn
gluon_resnext101_32x4d_224,1.2150866746902467,168.31,80.334,cnn
pit_xs_distilled_224_224,0.25269714593887327,42.16,79.306,transformer
deit3_base_patch16_384_384,7.60511155128479,331.52,85.072,transformer
legacy_seresnext50_32x4d_224,0.6703734755516052,105.05,79.078,cnn
crossvit_15_240_240,1.037932848930359,105.32,81.536,transformer
mixer_b16_224_224,1.7857496738433838,228.52,76.600,cnn
deit3_large_patch16_224_in21ft1k_224,9.331991302967072,1161.32,86.978,transformer
tf_mobilenetv3_small_075.in1k_224,0.03548020124435425,7.87,65.716,cnn
sequencer2d_s_224,1.3324314475059509,106.27,82.342,cnn
gluon_resnet50_v1d_224,0.6419922351837158,97.49,79.074,cnn
convnext_base.fb_in22k_ft_in1k_288,4.699654614925384,338.16,86.280,cnn
lambda_resnet50ts_256,0.832881224155426,82.16,81.166,cnn
pvt_v2_b1_224,0.7044797897338867,53.59,78.694,transformer
gluon_senet154_224,3.03088321685791,438.69,81.234,cnn
pit_xs_224_224,0.2501813888549805,40.69,78.182,transformer
