model_name,precision,recall,mAP_0.5,mAP_0.5:0.95
yolo5d67w5_256,0.6216665999617346,0.4195653612703117,0.4543843992573226,0.3153338338718016
yolo5d67w5_288,0.6314621537396425,0.443741764881374,0.4806634679790846,0.3390713204844607
yolo5d67w5_320,0.6550127683905214,0.4686689610968217,0.5091833674614693,0.3618978607931804
yolo5d67w5_352,0.6478756968378206,0.4851103868189517,0.52875979882888,0.3770309587055956
yolo5d67w5_384,0.6747596694846522,0.4928218083364571,0.543625510595194,0.3917259633704002
yolo5d67w5_416,0.6734993816638133,0.5098822562569019,0.5597313958304568,0.4051419433027623
yolo5d67w5_448,0.6774679649465651,0.5226059360201368,0.5736498192138135,0.4149958545004248
yolo5d67w5_480,0.6775020559367491,0.5347664406832756,0.5823717593594515,0.4234587987706456
yolo5l_160,0.6072628709535898,0.3595877510035185,0.3912773515230573,0.2721338618772291
yolo5l_192,0.6258451243356157,0.4084677921610776,0.4426729501318954,0.3111945789745803
yolo5l_224,0.6320738066733833,0.4464516284859863,0.4851633568809534,0.3453108232820459
yolo5l_256,0.6693820865005861,0.4778137910806329,0.5229398118167423,0.3737131069698033
yolo5l_288,0.670359104278081,0.5045824531681425,0.5493696587698511,0.3967906501914878
yolo5l_320,0.693785625289616,0.5231946273436339,0.5740010553511856,0.4185081661260543
yolo5l_352,0.6962812324008368,0.5393397328205807,0.5909880305973517,0.4314556769847232
yolo5l_384,0.6998699735336569,0.5538717735321054,0.6075018851480709,0.4450216932719529
yolo5l_416,0.6972242289672839,0.5715205526075037,0.6203360216484567,0.4579224774979187
yolo5l_448,0.7151098733819998,0.5705929211073186,0.6301634859688576,0.4661056380086855
yolo5l_480,0.7043378284303017,0.5826752132968112,0.6391207392691661,0.4749700282742641
yolo5m_160,0.5813869239174283,0.3329720345672337,0.3593618915596676,0.2438715288951662
yolo5m_192,0.6012848948768543,0.3790900255294768,0.4117933567199592,0.2843550755497025
yolo5m_224,0.6208193472989633,0.4212998390206159,0.4577846519100864,0.3193984288207724
yolo5m_256,0.6455962608813668,0.4564176790408522,0.4952909059415358,0.3486338225396366
yolo5m_288,0.6607808729399616,0.473417027173466,0.5207918686974392,0.3716560488378052
yolo5m_320,0.668175349458502,0.497076269520025,0.544053708942814,0.3924258796005865
yolo5m_352,0.6706275056347237,0.5192786811195262,0.5666759001443078,0.4087675004057103
yolo5m_384,0.686885489614866,0.5256853687010636,0.5794948176334563,0.4208823675109918
yolo5m_416,0.6815139694314303,0.5480040485986656,0.5963994837351835,0.435657796452035
yolo5m_448,0.6871190301103791,0.5525254941223563,0.6067968046284766,0.4430591062730034
yolo5m_480,0.6935343331073408,0.562392398685704,0.6158087942671191,0.4517868950747145
yolo5n_160,0.4018965878734054,0.2044614457174604,0.2019926689957349,0.1292162504983008
yolo5n_192,0.4444779403864765,0.2499799308950487,0.2507328085774426,0.1627674751976175
yolo5n_224,0.4743777509823779,0.2877291700675261,0.2932223294732954,0.193802937772319
yolo5n_256,0.5016172742671484,0.3141231940331999,0.3276470090540352,0.2189239836082641
yolo5n_288,0.5296635814448716,0.3415692517594207,0.3603099162033477,0.2413122487170944
yolo5n_320,0.5502626292950594,0.3588932141653056,0.3840126652073686,0.2604183560139966
yolo5n_352,0.5572793304539367,0.3731730990033152,0.4004971574542457,0.2729098361903989
yolo5n_384,0.5748785899063455,0.3907953591043003,0.4206449141536749,0.2872245622169945
yolo5n_416,0.5879645409428476,0.4064025212416065,0.4383124498479812,0.3016948610585482
yolo5n_448,0.6085304590876591,0.4126830292243897,0.4523662303727475,0.3110022085456698
yolo5n_480,0.5900554803492831,0.4240010801641995,0.45954015899294,0.3176884984557624
yolo5s_160,0.5122743894535027,0.2922428686880939,0.301396169249975,0.1996399651445956
yolo5s_192,0.5450846846766847,0.3381687335608322,0.3566565100601406,0.2400144671957957
yolo5s_224,0.5940950009543976,0.3742941377817547,0.4000202099028665,0.2744987800920707
yolo5s_256,0.5997067650932337,0.4017272152034925,0.4344285108441714,0.2992247487837979
yolo5s_288,0.6274671549088173,0.4274991225507089,0.4650735361416936,0.3229510282699602
yolo5s_320,0.6394616409595131,0.4497962723417904,0.4908186775219684,0.3432511051138532
yolo5s_352,0.6575732486126069,0.4648707111779906,0.5132302195611997,0.3622430228798295
yolo5s_384,0.6581356019074877,0.4820266953128627,0.5265742327857439,0.3736493119562995
yolo5s_416,0.6665455389713839,0.4957109311781915,0.5420278773564762,0.3858706592776929
yolo5s_448,0.6645009102813962,0.502078301444245,0.5504817704991621,0.3924961926617213
yolo5s_480,0.6708117820413637,0.5075258044094756,0.5586636035379917,0.4012135415241352
yolo6l-d1w25_160,0.4501844708466914,0.2437224213844651,0.24114349688586,0.1579708044104847
yolo6l-d1w25_192,0.5170722120341325,0.2809311773779677,0.2947144556503056,0.1965708425035887
yolo6l-d1w25_224,0.5320499526373463,0.3286442108448071,0.340375975097236,0.2306247825397907
yolo6l-d1w25_256,0.5552912214194908,0.3589427955113589,0.3767866625325732,0.2572051307409493
yolo6l-d1w25_288,0.5812343242469208,0.3821934656248588,0.4054956024366435,0.2795283954423895
yolo6l-d1w25_320,0.6046916117077593,0.407006212399178,0.4361396173112981,0.3031327964079654
yolo6l-d1w25_352,0.6423330200210756,0.4123231356862056,0.4547358496854368,0.3169977161206905
yolo6l-d1w25_384,0.6374659075957914,0.43139065170476,0.4718994041322631,0.3327990258652392
yolo6l-d1w25_416,0.6397603305290673,0.4456688331412716,0.488258732196534,0.345691099927232
yolo6l-d1w25_448,0.6293874883060442,0.4616955635752567,0.4990209318645647,0.3551111304421363
yolo6l-d1w25_480,0.6529168475361422,0.4700708614170826,0.513536831923733,0.3670757486331034
yolo6l-d33w25_160,0.4131277636840961,0.2125586006907353,0.207128612321883,0.1328586552619973
yolo6l-d33w25_192,0.4678469643704307,0.2550461997686573,0.2577562282423283,0.1692831718255134
yolo6l-d33w25_224,0.4875630436594685,0.288722684554401,0.2983953937743595,0.1980537897490611
yolo6l-d33w25_256,0.5243647859282803,0.3138153087405369,0.3324196086120096,0.2231518822711181
yolo6l-d33w25_288,0.5459317061840971,0.3353942461106275,0.3592657945554075,0.2430982605220619
yolo6l-d33w25_320,0.5603069150241662,0.3547416736150131,0.3845610496122997,0.2615470224850063
yolo6l-d33w25_352,0.5915170682194338,0.3741265150625381,0.4065624515746797,0.2782106936295199
yolo6l-d33w25_384,0.5843470471069498,0.3988582069969834,0.4252618859039092,0.2921229619087332
yolo6l-d33w25_416,0.6073743101051184,0.4060879275982505,0.4416493673444908,0.3054079081591844
yolo6l-d33w25_448,0.6046517059480203,0.4200843649094561,0.4553834292606847,0.3169700108523645
yolo6l-d33w25_480,0.5972455320781332,0.4417561418487732,0.471737535786353,0.3283264656365495
yolo6l-d33w5_160,0.5265617238304665,0.2926315189016996,0.3053881208638709,0.2033613985042296
yolo6l-d33w5_192,0.5493121001055968,0.3378400774909658,0.3539969707272984,0.2405134208080573
yolo6l-d33w5_224,0.6023962356529358,0.367587893017964,0.3997846537475952,0.2762712992474611
