,model_name,precision,recall,mAP_0.5,mAP_0.5:0.95
0,yolo3d1w25_160,0.74198,0.52692,0.61565,0.31717
1,yolo3d1w25_192,0.78455,0.61296,0.69439,0.3764
2,yolo3d1w25_224,0.80619,0.66114,0.73975,0.38706
3,yolo3d1w25_256,0.84284,0.71954,0.79636,0.46299
4,yolo3d1w25_288,0.85605,0.75101,0.82449,0.48889
5,yolo3d1w25_320,0.87016,0.77151,0.84484,0.51141
6,yolo3d1w25_352,0.88109,0.78714,0.85815,0.52532
7,yolo3d1w25_384,0.88791,0.80047,0.86933,0.53792
8,yolo3d1w25_416,0.89371,0.81305,0.88092,0.55028
9,yolo3d1w25_448,0.89891,0.81502,0.883,0.53963
10,yolo3d1w25_480,0.90046,0.82659,0.89001,0.56481
11,yolo3d67w25_160,0.73342,0.52547,0.6131,0.31668
12,yolo3d67w25_192,0.78783,0.60464,0.68786,0.37064
13,yolo3d67w25_224,0.80283,0.6577,0.73344,0.38042
14,yolo3d67w25_256,0.84017,0.7118,0.78853,0.45407
15,yolo3d67w25_288,0.85263,0.74278,0.81745,0.48063
16,yolo3d67w25_320,0.86816,0.76277,0.83781,0.50147
17,yolo3d67w25_352,0.87866,0.78207,0.85543,0.51827
18,yolo3d67w25_384,0.88459,0.79665,0.86649,0.53225
19,yolo3d67w25_416,0.8897,0.80675,0.87418,0.54193
20,yolo3d67w25_448,0.89631,0.80874,0.8783,0.53381
21,yolo3d67w25_480,0.90091,0.81976,0.88629,0.55854
22,yolo3d67w5_160,0.77558,0.56105,0.6644,0.36664
23,yolo3d67w5_192,0.81596,0.64955,0.73982,0.42526
24,yolo3d67w5_224,0.83542,0.69729,0.78034,0.42555
25,yolo3d67w5_256,0.86417,0.74927,0.82385,0.49593
26,yolo3d67w5_288,0.87981,0.77689,0.84905,0.51747
27,yolo3d67w5_320,0.88932,0.7958,0.86641,0.53611
28,yolo3d67w5_352,0.89561,0.80655,0.87358,0.54572
29,yolo3d67w5_384,0.89823,0.82024,0.88561,0.55796
30,yolo3d67w5_416,0.90318,0.82827,0.89103,0.56627
31,yolo3d67w5_448,0.90557,0.83229,0.89408,0.55244
32,yolo3d67w5_480,0.90873,0.84245,0.90162,0.57916
33,yolo3n_160,0.72989,0.52081,0.60782,0.31253
34,yolo3n_192,0.77739,0.6014,0.68292,0.36777
35,yolo3n_224,0.80029,0.65443,0.73166,0.37698
36,yolo3n_256,0.83352,0.70704,0.78283,0.44874
37,yolo3n_288,0.85023,0.7358,0.81233,0.47446
38,yolo3n_320,0.86476,0.75816,0.83295,0.49658
39,yolo3n_352,0.86725,0.77358,0.84671,0.51021
40,yolo3n_384,0.88203,0.78407,0.85952,0.52616
41,yolo3n_416,0.88449,0.8015,0.8709,0.53722
42,yolo3n_448,0.89023,0.80409,0.87345,0.52892
43,yolo3n_480,0.89652,0.81282,0.88273,0.55497
44,yolo4d1w25_160,0.74757,0.54445,0.63417,0.33224
45,yolo4d1w25_192,0.79682,0.62966,0.71398,0.39152
46,yolo4d1w25_224,0.82086,0.6756,0.7561,0.39828
47,yolo4d1w25_256,0.84635,0.7259,0.80251,0.46825
48,yolo4d1w25_288,0.86139,0.75586,0.83069,0.49444
49,yolo4d1w25_320,0.87554,0.77682,0.85013,0.51471
50,yolo4d1w25_352,0.88144,0.79042,0.862,0.528
51,yolo4d1w25_384,0.89063,0.80252,0.87352,0.54259
52,yolo4d1w25_416,0.89447,0.80986,0.88032,0.55066
53,yolo4d1w25_448,0.8997,0.81916,0.88613,0.54243
54,yolo4d1w25_480,0.9039,0.82879,0.89676,0.56924
