model_name,nano_gpu_latency,openvino_latency,vim3_latency,raspi4_tflite_latency,orange_pi_latency,a40_trt_latency
yolo5l_448,0.4854217859109243,0.0984947299957275,0.3261896666666666,3.726903333333333,0.2265375899999999,0.0050383877754211
yolo5l_480,0.5417136490345001,0.117514354387919,0.3608986666666667,4.319,0.2563196633333333,0.00555419921875
yolo5m_160,0.0632749199867248,0.0102553518613179,0.029391,0.2746433333333333,0.0303521833333333,0.0022156834602355
yolo5m_192,0.0783746552467345,0.0121846866607665,0.0389576666666666,0.3810833333333334,0.03902858,0.0021827292442321
yolo5m_224,0.0915010197957356,0.015369834502538,0.0516286666666666,0.5364833333333333,0.0442823199999999,0.0023066210746765
yolo5m_256,0.0990516297022501,0.0185136938095092,0.0600989999999999,0.5299200000000001,0.0548819733333333,0.0023239374160766
yolo5m_288,0.1416638243198394,0.0217134535312652,0.0927093333333333,0.6954233333333333,0.06817062,0.0025399708747863
yolo5m_320,0.1665975069999694,0.0257497243086496,0.107149,0.8564066666666666,0.0839656066666666,0.0026218342781066
yolo5m_352,0.1855989468097686,0.0301165175437927,0.1307446666666666,1.0489233333333334,0.0917266433333333,0.0027471256256103
yolo5m_384,0.2116253586610158,0.0345243124167123,0.148173,1.2623133333333334,0.1024247833333333,0.0027626299858093
yolo5m_416,0.2641854480902354,0.0405272734165191,0.1739726666666666,1.4707400000000002,0.1186385099999999,0.0030784177780151
yolo5m_448,0.2886266314983368,0.0462766659259795,0.191554,1.711126666666667,0.1369610833333333,0.0032991194725036
yolo5m_480,0.3228711414337158,0.0518654052416483,0.2163796666666666,1.9707533333333327,0.1563475933333333,0.0035428953170776
yolo5n_160,0.0198317233721415,0.0015566523869831,0.0082036666666666,0.0226533333333333,0.0149934533333333,0.0009421610832214
yolo5n_192,0.0207228708267211,0.001873960494995,0.010241,0.0308833333333333,0.0153023466666666,0.0009667992591857
yolo5n_224,0.0218242971102396,0.0023903822898864,0.0129966666666666,0.0422866666666666,0.01831328,0.0009918570518493
yolo5n_256,0.0222099081675211,0.0028014794985453,0.0159746666666666,0.0548333333333333,0.0190130433333333,0.0010261368751525
yolo5n_288,0.0297755420207977,0.0033448302745818,0.0232573333333333,0.0708466666666666,0.0215563,0.0011067962646484
yolo5n_320,0.0345985682805378,0.0038716081778207,0.027084,0.0877899999999999,0.0256263299999999,0.0011046886444091
yolo5n_352,0.0405415137608845,0.0045634754498799,0.032585,0.1089133333333333,0.0280598266666666,0.0011177372932434
yolo5n_384,0.0436591752370197,0.0052216509977975,0.039002,0.13065,0.0324533033333333,0.0011966919898986
yolo5n_416,0.0526892936229705,0.006069039106369,0.0455323333333333,0.1553033333333333,0.0364630666666666,0.0012487077713012
yolo5n_448,0.058654259443283,0.0067075479030608,0.050084,0.1792966666666666,0.0413617566666666,0.0012945628166198
yolo5n_480,0.0704705981413522,0.0076624226570128,0.0569146666666666,0.2131633333333333,0.0459287333333333,0.0013462567329406
yolo5s_160,0.0294353806972503,0.0042339766025542,0.015446,0.0921066666666666,0.0200132399999999,0.0013340473175048
yolo5s_192,0.0357095034917195,0.0052500092983245,0.0208913333333333,0.1261333333333333,0.0254485133333333,0.0013818430900573
yolo5s_224,0.0423270157972971,0.0065233993530272,0.0271103333333333,0.1754033333333333,0.0317685366666666,0.0014080095291137
yolo5s_256,0.047036059697469,0.0078367908795674,0.0329763333333333,0.1841533333333333,0.0331084733333333,0.0014688611030578
yolo5s_288,0.0655065846443175,0.008964618841807,0.0487913333333333,0.2374666666666666,0.0424534699999999,0.0016018748283386
yolo5s_320,0.0755629412333169,0.0106816641489664,0.0581076666666666,0.2950366666666666,0.0519056366666666,0.001628258228302
yolo5s_352,0.0849634130795796,0.0122094011306762,0.0696446666666666,0.3580133333333333,0.0588687699999999,0.0016545033454895
yolo5s_384,0.1013671016693114,0.0139560254414876,0.07944,0.43244,0.0635703933333333,0.0016395592689514
yolo5s_416,0.1258762860298156,0.0161656832695007,0.093886,0.5089533333333333,0.07328456,0.0018540382385253
yolo5s_448,0.137661770582199,0.0183118240038553,0.1062373333333333,0.6096666666666667,0.0821564466666666,0.0018837070465087
yolo5s_480,0.1568947966893513,0.0205968618392944,0.1192626666666666,0.6970333333333333,0.0927825933333333,0.0020515584945678
yolo6l-d1w1_160,0.1270166409015655,0.019032616217931,0.049601,0.6108966666666666,0.04951046,0.0041504216194152
yolo6l-d1w1_192,0.1557802045345306,0.0241406019528706,0.0660636666666666,0.8343400000000001,0.0546641033333333,0.0041600751876831
