model_name,precision,recall,mAP_0.5,mAP_0.5:0.95,pi4_ort_latency,nano_gpu_latency,ov_latency,vim3_latency,pi4_tflite_fp32_latency,pi4_tflite_int8_latency
yolo6m-d33w1_224,0.74398,0.63962,0.71298,0.50221,0.5782485993703207,0.1333080216248829,0.0241898266474405,0.0533226666666666,0.8916599999999999,0.2729433333333333
yolo6m-d33w1_256,0.75325,0.65675,0.73401,0.52471,0.7087757933139801,0.1443627758820851,0.0299555174509683,0.0588063333333333,0.9005833333333334,0.3264266666666666
yolo6m-d33w1_288,0.76557,0.68182,0.75337,0.53879,0.939713640610377,0.2079641457398732,0.0346455204486846,0.1019926666666666,1.16522,0.42805
yolo6m-d33w1_320,0.78297,0.69285,0.76844,0.54955,1.1335152812798817,0.2419477065404256,0.0413090721766153,0.114143,1.412113333333333,0.5146466666666667
yolo6m-d33w1_352,0.76888,0.7136,0.78272,0.57832,1.3643906160195671,0.2704184786478678,0.0484325098991393,0.139348,1.7524499999999998,0.61645
yolo6m-d33w1_384,0.79627,0.72378,0.80004,0.59844,1.5794922014077504,0.3166715578238169,0.0564053662618,0.1462429999999999,2.049306666666667,0.7206666666666667
yolo6m-d33w1_416,0.79463,0.71624,0.79983,0.59865,1.901745289166768,0.3874134119351704,0.0672139823436736,0.1688846666666666,2.4241566666666667,0.8454033333333334
yolo6m-d33w1_448,0.80296,0.7185,0.80801,0.60707,2.18883993268013,0.4123908917109171,0.0813180955251057,0.1905226666666666,2.8224400000000003,0.9829466666666667
yolo6m-d33w1_480,0.79724,0.73254,0.80606,0.6062,2.5535043700536093,0.4580147631963093,0.0910606813430785,0.2045026666666666,3.2724266666666666,1.13269
yolo6m-d33w25_160,0.53593,0.42463,0.44658,0.27421,0.030541101694107,0.0217464824517567,0.0020564591884612,0.0064403333333333,0.0213066666666666,0.0231299999999999
yolo6m-d33w25_192,0.57026,0.46647,0.50066,0.31762,0.0406505978107452,0.0228857545057931,0.0024570059776305,0.007172,0.0293733333333333,0.0243066666666666
yolo6m-d33w25_224,0.59099,0.48398,0.52477,0.33536,0.0551585547129312,0.0230951313177744,0.0030271963278452,0.0082223333333333,0.0398033333333333,0.03397
yolo6m-d33w25_256,0.62266,0.51158,0.55792,0.36395,0.0659338959058125,0.0240812230110168,0.0035208805402119,0.0087009999999999,0.0497333333333333,0.0418166666666666
yolo6m-d33w25_288,0.63818,0.52192,0.57492,0.37338,0.0863655654589334,0.0325994300842284,0.0041866286595662,0.0150343333333333,0.0647866666666666,0.0507866666666666
yolo6m-d33w25_320,0.61892,0.52022,0.56774,0.37363,0.1026690733432769,0.0373469392458597,0.004817630847295,0.0162013333333333,0.0793433333333333,0.06137
yolo6m-d33w25_352,0.65553,0.56922,0.62506,0.42455,0.1263633382320403,0.0413650012016295,0.0056565654277801,0.0196863333333333,0.0973866666666666,0.0771833333333333
yolo6m-d33w25_384,0.68401,0.58319,0.64797,0.44756,0.1507712642351786,0.0445199998219807,0.0063151892026265,0.020517,0.1129299999999999,0.0891266666666666
yolo6m-d33w25_416,0.69738,0.59334,0.66798,0.46375,0.175208310286204,0.0556920393308003,0.0072170937061309,0.024137,0.13753,0.1055766666666666
yolo6m-d33w25_448,0.71114,0.59321,0.67056,0.47014,0.2054806820551553,0.0588515508174896,0.0081112690766651,0.025348,0.1587466666666666,0.1223966666666666
yolo6m-d33w25_480,0.71818,0.60733,0.68078,0.47508,0.231440139611562,0.0674333039919535,0.0090699466069539,0.0290136666666666,0.1867433333333333,0.1433866666666666
yolo6m-d33w5_160,0.62685,0.49932,0.55081,0.35817,0.0919721587498982,0.0342689851919809,0.0053316541512806,0.0143666666666666,0.0984166666666666,0.0446666666666666
yolo6m-d33w5_192,0.66972,0.53934,0.60784,0.40672,0.1260952564080555,0.0412466013431548,0.0067266209920246,0.015772,0.13479,0.0612033333333333
yolo6m-d33w5_224,0.69611,0.5789,0.64322,0.43719,0.1654235366980234,0.0486375641822814,0.0081282722949981,0.0198156666666666,0.1875266666666667,0.0855166666666666
yolo6m-d33w5_256,0.70597,0.5998,0.6733,0.46359,0.1911531233787536,0.0517571222782134,0.0097062559922535,0.0207736666666666,0.1917766666666666,0.10623
yolo6m-d33w5_288,0.71658,0.61181,0.68644,0.47591,0.2602732570966085,0.0760193967819213,0.0110907876491546,0.037159,0.2524266666666666,0.13634
yolo6m-d33w5_320,0.72133,0.63919,0.70506,0.49041,0.3169455814361572,0.0870673477649688,0.0131089603900909,0.041441,0.3095466666666666,0.16701
yolo6m-d33w5_352,0.74128,0.66079,0.73611,0.52969,0.3705322198073069,0.097290453116099,0.0150894685586292,0.0471053333333333,0.3705366666666667,0.19711
yolo6m-d33w5_384,0.75941,0.6674,0.74896,0.54649,0.4379516883691152,0.1088260495662689,0.0173336207866668,0.051874,0.44035,0.2327133333333333
yolo6m-d33w5_416,0.7632,0.67993,0.75966,0.55489,0.5303147673606873,0.1333401974042255,0.0201798089345295,0.0577506666666666,0.5197200000000001,0.27307
yolo6m-d33w5_448,0.76253,0.6877,0.76001,0.55319,0.6093483837445577,0.1431935369968413,0.022869582970937,0.063228,0.6178800000000001,0.32099
yolo6m-d33w5_480,0.77281,0.67928,0.76439,0.56045,0.721482270161311,0.1621003007888793,0.0263561666011809,0.0706696666666666,0.7043733333333333,0.36143
yolo6m-d33w75_160,0.64243,0.53448,0.5861,0.37983,0.1848253111044565,0.0563800843556721,0.0083980309963226,0.0253666666666666,0.2437666666666667,0.0840966666666666
yolo6m-d33w75_192,0.70119,0.5828,0.65556,0.44959,0.2376197230815887,0.0692991908391316,0.0106471534570057,0.0278773333333333,0.3336333333333334,0.1160633333333333
yolo6m-d33w75_224,0.72722,0.61076,0.68697,0.47424,0.333841677904129,0.0823075314362843,0.0132194697856902,0.0339913333333333,0.4615099999999999,0.1596033333333333
yolo6m-d33w75_256,0.75756,0.63516,0.71782,0.50547,0.397247777779897,0.0882020020484923,0.0163763221104939,0.0363276666666666,0.45974,0.1993633333333333
yolo6m-d33w75_288,0.74341,0.64437,0.72266,0.50945,0.534947007894516,0.1308537201086679,0.018971261580785,0.0627803333333333,0.5965400000000001,0.2624433333333333
yolo6m-d33w75_320,0.7532,0.6714,0.74946,0.53416,0.6285648397604624,0.1503969816366831,0.0228624022006988,0.0692326666666666,0.7282966666666667,0.30929
yolo6m-d33w75_352,0.78174,0.67286,0.76257,0.55735,0.7751581148306529,0.1682639054457345,0.0273623776435851,0.0820016666666666,0.88953,0.3811233333333333
yolo6m-d33w75_384,0.78588,0.69621,0.78161,0.57856,0.8913886678218841,0.1895424544811248,0.0305771942933399,0.086955,1.0654333333333332,0.43609
yolo6m-d33w75_416,0.80285,0.71062,0.79229,0.58684,1.0870882479349773,0.2356247206528981,0.0350985050201415,0.099837,1.2401,0.5244599999999999
yolo6m-d33w75_448,0.79003,0.72928,0.80026,0.59838,1.2823592042922975,0.2555972139040629,0.0403681286176045,0.105575,1.43819,0.59692
yolo6m-d33w75_480,0.77999,0.70776,0.78896,0.58551,1.4990533598264058,0.2839285981655121,0.0452529021104176,0.1199093333333333,1.6605766666666666,0.6991566666666666
yolo6m-d6w1_160,0.70258,0.57124,0.63696,0.42665,0.4396027970314025,0.1203910263379414,0.0205852417151132,0.0474273333333333,0.6425833333333334,0.19589
yolo6m-d6w1_192,0.73323,0.62964,0.70132,0.49332,0.5814513734976451,0.1515585927168528,0.0262490053971607,0.0536776666666666,0.8915233333333333,0.2615366666666667
yolo6m-d6w1_224,0.7512,0.6535,0.72883,0.52228,0.7942670214176178,0.1735629785060882,0.0333502674102782,0.0625056666666666,1.24634,0.3750833333333334
yolo6m-d6w1_256,0.77598,0.66061,0.74626,0.53957,0.9751170019308728,0.1859014356136321,0.0399230849742889,0.0687633333333333,1.2424166666666665,0.4565766666666667
yolo6m-d6w1_288,0.7743,0.68389,0.76368,0.55836,1.2813649237155913,0.2724164851506551,0.0466832435131072,0.1176496666666666,1.62791,0.5837966666666666
yolo6m-d6w1_320,0.77116,0.68428,0.765,0.55492,1.532775683005651,0.3176821223894754,0.0557974958419799,0.1320869999999999,2.0368100000000005,0.6990133333333334
yolo6m-d6w1_352,0.77636,0.70485,0.78077,0.57623,1.8840147745609288,0.3505910428365071,0.0658780411879221,0.1604176666666666,2.432636666666667,0.8470566666666667
yolo6m-d6w1_384,0.79011,0.71009,0.79214,0.59027,2.116763296524684,0.409229058821996,0.0795887998739878,0.169059,2.917533333333333,0.9695566666666666
yolo6m-d6w1_416,0.80245,0.72072,0.80448,0.60539,2.62655948917071,0.5016730690002441,0.0945705842971801,0.1961696666666666,3.4555366666666667,1.1600166666666667
yolo6m-d6w1_448,0.80206,0.73332,0.81816,0.61887,3.021434386968613,0.5276654640833537,0.1123883624871571,0.2194106666666666,3.961516666666667,1.34651
yolo6m-d6w1_480,0.80665,0.73088,0.81226,0.61314,3.5045629568894703,0.5843431107203165,0.1273111434777577,0.2371056666666666,4.57408,1.5605466666666663
yolo6m-d6w25_160,0.52014,0.41991,0.43757,0.27362,0.0399725186824798,0.0248516261577605,0.0028935873508452,0.0073183333333333,0.0285933333333333,0.0242033333333333
yolo6m-d6w25_192,0.55596,0.44602,0.48547,0.31051,0.0525418285528818,0.0266341924667358,0.0033381263415017,0.0081116666666666,0.03854,0.03078
yolo6m-d6w25_224,0.58377,0.49374,0.52921,0.3435,0.0724247956275939,0.0266911081473032,0.0039919686317443,0.0093413333333333,0.0524733333333333,0.0405166666666666
yolo6m-d6w25_256,0.63511,0.51359,0.5716,0.38102,0.0830147679646809,0.0295857687791188,0.004520993232727,0.0099153333333333,0.06467,0.0488833333333333
yolo6m-d6w25_288,0.63035,0.51909,0.57813,0.38556,0.1099229621887206,0.0421873625119526,0.0054656159877776,0.0166976666666666,0.0840966666666666,0.0640733333333333
yolo6m-d6w25_320,0.6512,0.53615,0.5995,0.39978,0.1334829417864481,0.0473620076974232,0.0068915931383768,0.0183476666666666,0.1031566666666666,0.0778366666666666
yolo6m-d6w25_352,0.65185,0.56389,0.62756,0.42891,0.1615044736862182,0.0527141666412353,0.0073280596733092,0.0221303333333333,0.12526,0.0951599999999999
yolo6m-d6w25_384,0.69052,0.57918,0.65077,0.45253,0.1930094655354817,0.0579286750157673,0.0080735945701599,0.023174,0.1523266666666667,0.1132266666666666
yolo6m-d6w25_416,0.71018,0.61036,0.68751,0.48782,0.2235641626516977,0.070546087026596,0.009387354850769,0.0271956666666666,0.17881,0.13585
yolo6m-d6w25_448,0.71668,0.62438,0.70148,0.49456,0.2649164907137552,0.0725709791978199,0.0104496018091837,0.028772,0.2054633333333333,0.15896
yolo6m-d6w25_480,0.71608,0.6349,0.70287,0.50292,0.2864691487948099,0.0793724389870961,0.0117373164494831,0.0328526666666666,0.2487399999999999,0.1834433333333333
yolo6m-d6w5_160,0.63763,0.50271,0.55261,0.36273,0.1250474747021992,0.0461351843674977,0.0069814272721608,0.0168469999999999,0.1382566666666666,0.0577366666666666
yolo6m-d6w5_192,0.67538,0.55142,0.61389,0.41291,0.1653051769733428,0.054390913248062,0.0088675228754678,0.018639,0.1855566666666666,0.07891
yolo6m-d6w5_224,0.70011,0.58711,0.65856,0.45675,0.2270274941126505,0.0627493532498677,0.0108735946814218,0.0230689999999999,0.26183,0.10996
yolo6m-d6w5_256,0.73248,0.59519,0.67813,0.47121,0.2602448372046153,0.0657223733266194,0.0141509314378102,0.023999,0.2652,0.1381433333333333
yolo6m-d6w5_288,0.73875,0.62633,0.70915,0.50357,0.3411182232697805,0.0972509304682413,0.0153371381759642,0.0420556666666666,0.3542366666666667,0.1791566666666666
yolo6m-d6w5_320,0.7311,0.63095,0.70725,0.49549,0.4106682527065277,0.110406683286031,0.0175335605939229,0.0474266666666666,0.4260833333333333,0.2203
yolo6m-d6w5_352,0.75783,0.6514,0.73662,0.53163,0.5110029713312785,0.1241100188096364,0.0204810635248819,0.053953,0.5184466666666667,0.2639233333333333
yolo6m-d6w5_384,0.75029,0.67066,0.74535,0.54301,0.5904674748579661,0.1368020109335581,0.0234749805927276,0.059274,0.6200866666666667,0.3036033333333334
yolo6m-d6w5_416,0.7583,0.69091,0.76323,0.56144,0.7067071628570556,0.1711447823047637,0.0273888540267943,0.0664313333333333,0.7317766666666667,0.3615599999999999
yolo6m-d6w5_448,0.76476,0.67696,0.75989,0.55854,0.8356561358769734,0.1781416217486063,0.0309387544790903,0.0723953333333333,0.8455933333333333,0.42587
yolo6m-d6w5_480,0.76872,0.71062,0.78167,0.58101,0.9481751430034638,0.2012134639422098,0.035139904419581,0.0811896666666666,0.9773566666666668,0.48459
yolo6m-d6w75_160,0.66886,0.54627,0.60761,0.40219,0.2523169302940368,0.0737634372711181,0.0110966233412424,0.030292,0.3431166666666667,0.1129266666666666
yolo6m-d6w75_192,0.7188,0.58784,0.66824,0.46152,0.3393319066365559,0.09053804675738,0.0139993345737456,0.033458,0.46377,0.1541666666666666
