model_name,precision,recall,mAP_0.5,mAP_0.5:0.95
yolo6l-d1w25_416,0.82795,0.74974,0.827,0.6363
yolo6l-d1w25_448,0.8218,0.76465,0.83841,0.64712
yolo6l-d1w25_480,0.80618,0.78157,0.84113,0.65109
yolo6l-d33w25_160,0.68394,0.56235,0.60937,0.41035
yolo6l-d33w25_192,0.72791,0.60082,0.66841,0.45967
yolo6l-d33w25_224,0.75703,0.62238,0.70015,0.49476
yolo6l-d33w25_256,0.76152,0.66085,0.73388,0.52445
yolo6l-d33w25_288,0.77387,0.6818,0.7524,0.54753
yolo6l-d33w25_320,0.79111,0.69286,0.7737,0.57061
yolo6l-d33w25_352,0.79529,0.70832,0.78521,0.58283
yolo6l-d33w25_384,0.79166,0.72495,0.79795,0.59807
yolo6l-d33w25_416,0.81044,0.72585,0.80768,0.60759
yolo6l-d33w25_448,0.81023,0.73022,0.81012,0.61179
yolo6l-d33w25_480,0.80605,0.7454,0.8183,0.61665
yolo6l-d33w5_160,0.7817,0.62182,0.70482,0.50018
yolo6l-d33w5_192,0.77302,0.68741,0.75184,0.54735
yolo6l-d33w5_224,0.79517,0.7109,0.77974,0.57777
yolo6l-d33w5_256,0.80024,0.73432,0.80056,0.59902
yolo6l-d33w5_288,0.81041,0.74611,0.81355,0.61814
yolo6l-d33w5_320,0.81584,0.75915,0.82918,0.6353
yolo6l-d33w5_352,0.81957,0.77242,0.83788,0.64598
yolo6l-d33w5_384,0.81979,0.7804,0.84328,0.65707
yolo6l-d33w5_416,0.82293,0.79039,0.84752,0.66176
yolo6l-d33w5_448,0.81957,0.79782,0.85263,0.66698
yolo6l-d33w5_480,0.82188,0.79757,0.85327,0.66904
yolo6l-d33w75_160,0.74042,0.64513,0.70725,0.50497
yolo6l-d33w75_192,0.77372,0.6894,0.75428,0.55308
yolo6l-d33w75_224,0.80879,0.71424,0.78832,0.58879
yolo6l-d33w75_256,0.8179,0.73285,0.80682,0.60646
yolo6l-d33w75_288,0.81584,0.75358,0.8217,0.62558
yolo6l-d33w75_320,0.82002,0.76305,0.83299,0.6407
yolo6l-d33w75_352,0.821,0.77678,0.84494,0.65681
yolo6l-d33w75_384,0.83367,0.77367,0.85064,0.66447
yolo6l-d33w75_416,0.8296,0.79204,0.8553,0.67129
yolo6l-d33w75_448,0.83176,0.80012,0.85984,0.67695
yolo6l-d33w75_480,0.8353,0.79629,0.86119,0.67978
yolo6l-d6w25_160,0.72163,0.55115,0.6261,0.42647
yolo6l-d6w25_192,0.73786,0.61602,0.68749,0.48294
yolo6l-d6w25_224,0.76937,0.64248,0.71737,0.51108
yolo6l-d6w25_256,0.78216,0.67092,0.74595,0.5393
yolo6l-d6w25_288,0.78279,0.69833,0.76738,0.56559
yolo6l-d6w25_320,0.78876,0.70948,0.78134,0.58201
yolo6l-d6w25_352,0.79977,0.73172,0.79938,0.59861
yolo6l-d6w25_384,0.80353,0.74045,0.80939,0.61213
