mAP_0.5:0.95_voc,mAP_0.5_voc,precision_voc,recall_voc,mAP_0.5:0.95_sku,mAP_0.5_sku,precision_sku,recall_sku,mAP_0.5:0.95_wider,mAP_0.5_wider,precision_wider,recall_wider,mAP_0.5:0.95_coco,mAP_0.5_coco,precision_coco,recall_coco,nano_gpu_latency,openvino_latency,vim3_latency,raspi4_tflite_latency,orange_pi_latency,a40_trt_latency,pi5_ort_latency,pi4_ort_latency,model_name,model_family
0.56053,0.7766,0.79576,0.69399,0.48063,0.81745,0.85263,0.74278,0.22813,0.43509,0.75362,0.37464,0.2542971052968993,0.3759636031455248,0.5433650498578625,0.3529624994352189,39.945108493169,4.554559787114401,27.0383333333333,109.03,28.6692566666666,1.1666965484619,40.2509641647338,133.9939812819162,yolo3d67w25_288,YOLOv3
0.57273,0.7857,0.80443,0.70424,0.50147,0.83781,0.86816,0.76277,0.25076,0.47378,0.75697,0.41124,0.2723581338718416,0.4012257550153005,0.5467124179602123,0.3812087998361455,45.8213214079538,5.4515373706817,30.081,133.8833333333333,28.6380433333333,1.1825489997863,49.8836040496826,162.6394168535867,yolo3d67w25_320,YOLOv3
0.58763,0.79806,0.80475,0.72353,0.51827,0.85543,0.87866,0.78207,0.26648,0.5019,0.78512,0.43229,0.2882476072756858,0.4207446486422789,0.5758926602066279,0.3932462788903696,51.8825443585712,6.445804834365799,41.031,164.64333333333332,33.2073366666666,1.2056398391723,61.549060344696,188.6700824896494,yolo3d67w25_352,YOLOv3
0.59822,0.80821,0.8143,0.72434,0.53225,0.86649,0.88459,0.79665,0.28416,0.5313,0.7876,0.46016,0.3016346791550238,0.4390105773053903,0.5798910659798413,0.4117335293702805,58.09312740961701,7.299600839614801,42.9386666666666,195.90333333333328,36.2874966666666,1.2755060195922,76.80227875709531,224.63893373807258,yolo3d67w25_384,YOLOv3
0.60859,0.81625,0.83322,0.72356,0.54193,0.87418,0.8897,0.80675,0.29704,0.55404,0.7947,0.48078,0.3131472619559942,0.4532041249176053,0.5913281436232364,0.4245645009021753,68.5739115873972,8.4919842084248,50.335,229.8066666666667,41.80294,1.3336396217346,94.6819460391998,272.7861924966175,yolo3d67w25_416,YOLOv3
0.61275,0.82084,0.81286,0.73858,0.53381,0.8783,0.89631,0.80874,0.31062,0.57727,0.80488,0.50362,0.3232546633718163,0.4661995897820893,0.61198245137856,0.4289093118974392,76.8529109160104,11.4593370755513,61.2423333333333,272.67333333333335,46.9537166666666,1.4112615585327,113.3869624137878,314.63933587074274,yolo3d67w25_448,YOLOv3
0.61901,0.8233,0.80504,0.7522,0.55854,0.88629,0.90091,0.81976,0.32277,0.59922,0.8153,0.52215,0.3300520840804364,0.4757999169744495,0.6125701847284487,0.4369730895748863,86.9071698188781,10.8310258388518,71.259,314.25666666666666,56.8528166666666,1.480529308319,133.047399520874,371.15327835083,yolo3d67w25_480,YOLOv3
0.5142,0.72625,0.7898,0.64419,0.36664,0.6644,0.77558,0.56105,0.1618,0.30757,0.68954,0.25073,0.2083483677580222,0.3110352948602167,0.5144312119763738,0.2940035396755234,38.8211290041605,5.6762695312499005,18.5753333333333,162.0866666666666,20.7965666666666,1.4581775665283,44.0521454811096,139.5835852622985,yolo3d67w5_160,YOLOv3
0.5537,0.7601,0.77624,0.7007,0.42526,0.73982,0.81596,0.64955,0.18985,0.35891,0.72749,0.29606,0.2484556408512033,0.3639823097538729,0.5667323219800197,0.342031020075231,47.922435204188,7.0261593659718,26.1746666666666,218.8,28.7710199999999,1.4882135391235,53.6552190780639,177.94114549954728,yolo3d67w5_192,YOLOv3
0.58454,0.79268,0.8081,0.7259,0.42555,0.78034,0.83542,0.69729,0.21635,0.40556,0.75125,0.338,0.2817781045155346,0.4086393270040085,0.5887342057346592,0.3756035800552509,57.4143171310424,8.9202864964802,31.917333333333296,310.36333333333334,33.8115966666666,1.5732383728027,76.35123014450069,239.8956720034281,yolo3d67w5_224,YOLOv3
0.60547,0.81366,0.81411,0.74554,0.49593,0.82385,0.86417,0.74927,0.24056,0.44656,0.76316,0.37676,0.3061292746495772,0.441248327407067,0.6327066218104236,0.4035243085098745,62.9800883928934,11.028827826182,40.8236666666666,305.6266666666666,41.7727266666666,1.5825748443603,81.640533208847,300.7890594005584,yolo3d67w5_256,YOLOv3
0.62587,0.82474,0.83294,0.74984,0.51747,0.84905,0.87981,0.77689,0.26128,0.48334,0.77481,0.4109,0.3291472612606659,0.4710565767632468,0.6387940759313683,0.4292879857858971,89.3042469024657,13.052937587102202,56.3553333333333,403.9533333333334,47.30404,1.6667580604553,116.86345100402828,398.3847781022389,yolo3d67w5_288,YOLOv3
0.63165,0.82899,0.81963,0.76576,0.53611,0.86641,0.88932,0.7958,0.28392,0.5214,0.79837,0.44194,0.3489931702146381,0.4963794799255656,0.6355455309952094,0.4605429692054946,101.5309993426004,15.6870861848195,67.53399999999999,489.3133333333333,55.6333933333333,1.743197441101,144.81962442398068,482.6094539960225,yolo3d67w5_320,YOLOv3
