model_name,precision,recall,mAP_0.5,mAP_0.5:0.95
yolo4s_352,0.81283,0.4757,0.55443,0.30429
yolo4s_384,0.82148,0.5043,0.58581,0.32121
yolo4s_416,0.8256,0.52973,0.6106,0.33861
yolo4s_448,0.83504,0.55155,0.63568,0.35074
yolo4s_480,0.8388,0.57207,0.6556,0.36257
yolo5d1w25_160,0.63366,0.21691,0.25462,0.1274
yolo5d1w25_192,0.67028,0.25853,0.30095,0.15324
yolo5d1w25_224,0.70587,0.2956,0.34628,0.17891
yolo5d1w25_256,0.73146,0.32744,0.38282,0.20007
yolo5d1w25_288,0.73627,0.36147,0.41937,0.22066
yolo5d1w25_320,0.76931,0.39158,0.45792,0.24243
yolo5d1w25_352,0.77839,0.42088,0.49014,0.26011
yolo5d1w25_384,0.78234,0.44655,0.51825,0.27615
yolo5d1w25_416,0.79269,0.47067,0.54482,0.29188
yolo5d1w25_448,0.80666,0.4919,0.56936,0.30603
yolo5d1w25_480,0.81544,0.5143,0.59311,0.3195
yolo5d1w5_160,0.67712,0.24005,0.29372,0.15222
yolo5d1w5_192,0.70524,0.28711,0.34363,0.18099
yolo5d1w5_224,0.73622,0.32655,0.38832,0.20706
yolo5d1w5_256,0.75564,0.36587,0.4329,0.23158
yolo5d1w5_288,0.77765,0.39793,0.47082,0.25427
yolo5d1w5_320,0.7876,0.43632,0.51017,0.27796
yolo5d1w5_352,0.8058,0.46319,0.54293,0.29498
yolo5d1w5_384,0.81695,0.49177,0.57144,0.31186
yolo5d1w5_416,0.82157,0.51433,0.59587,0.32707
yolo5d1w5_448,0.82716,0.53955,0.62179,0.34071
yolo5d1w5_480,0.83783,0.55981,0.64325,0.353
yolo5d1w75_160,0.68657,0.2521,0.31138,0.16337
yolo5d1w75_192,0.73369,0.29883,0.3647,0.19442
yolo5d1w75_224,0.75102,0.34402,0.41328,0.22378
yolo5d1w75_256,0.76342,0.38336,0.45636,0.24724
yolo5d1w75_288,0.78066,0.41555,0.49129,0.26919
yolo5d1w75_320,0.80515,0.45127,0.5328,0.29233
yolo5d1w75_352,0.82479,0.47972,0.56533,0.31128
yolo5d1w75_384,0.82231,0.51151,0.59568,0.32819
yolo5d1w75_416,0.83367,0.53414,0.62024,0.34378
yolo5d1w75_448,0.8382,0.55753,0.64359,0.35692
yolo5d1w75_480,0.85117,0.57628,0.66601,0.36926
yolo5d67w1_160,0.70816,0.25621,0.32133,0.17063
yolo5d67w1_192,0.72539,0.30607,0.37632,0.20199
yolo5d67w1_224,0.76128,0.34979,0.42392,0.22988
yolo5d67w1_256,0.77237,0.39041,0.46791,0.25604
yolo5d67w1_288,0.78969,0.42626,0.50655,0.27818
yolo5d67w1_320,0.80491,0.46339,0.54592,0.30086
yolo5d67w1_352,0.82195,0.48933,0.5767,0.31871
yolo5d67w1_384,0.82347,0.52133,0.60733,0.33541
yolo5d67w1_416,0.83216,0.54285,0.63092,0.3498
yolo5d67w1_448,0.84137,0.56479,0.65424,0.36316
yolo5d67w1_480,0.85186,0.58578,0.67728,0.37495
yolo5d67w25_160,0.62805,0.21225,0.24842,0.12394
yolo5d67w25_192,0.66435,0.25396,0.2948,0.14906
yolo5d67w25_224,0.69868,0.2921,0.33934,0.17423
yolo5d67w25_256,0.72713,0.32346,0.37822,0.19595
yolo5d67w25_288,0.73932,0.35657,0.41361,0.21575
yolo5d67w25_320,0.76203,0.38848,0.45363,0.23832
yolo5d67w25_352,0.7659,0.41573,0.48107,0.25426
yolo5d67w25_384,0.77997,0.44172,0.51142,0.27266
yolo5d67w25_416,0.79038,0.46533,0.53776,0.28724
yolo5d67w25_448,0.80437,0.48474,0.56258,0.30064
yolo5d67w25_480,0.8071,0.50903,0.58324,0.31476
yolo5d67w5_160,0.66876,0.24005,0.28926,0.14845
yolo5d67w5_192,0.70347,0.28476,0.34071,0.17796
yolo5d67w5_224,0.73987,0.32539,0.38728,0.20604
yolo5d67w5_256,0.75906,0.36582,0.43192,0.23022
yolo5d67w5_288,0.77327,0.3965,0.46673,0.25138
yolo5d67w5_320,0.78721,0.43158,0.50619,0.27492
yolo5d67w5_352,0.80614,0.45989,0.53905,0.2927
yolo5d67w5_384,0.81319,0.48793,0.56851,0.3089
yolo5d67w5_416,0.81538,0.51176,0.59248,0.3243
yolo5d67w5_448,0.82702,0.53553,0.61718,0.33773
yolo5d67w5_480,0.83231,0.55433,0.63749,0.34931
